"Notes","Disease","Disease Code","Year","Year Code","States","States Code",Case Count
,"Measles, Total","10140","2018","2018","Pennsylvania","42",2
,"Measles, Total","10140","2018","2018","Rhode Island","44",0
,"Measles, Total","10140","2018","2018","South Carolina","45",6
,"Measles, Total","10140","2018","2018","South Dakota","46",0
,"Measles, Total","10140","2018","2018","Tennessee","47",1
,"Measles, Total","10140","2018","2018","Texas","48",9
,"Measles, Total","10140","2018","2018","Utah","49",0
,"Measles, Total","10140","2018","2018","Vermont","50",1
,"Measles, Total","10140","2018","2018","Virginia","51",1
,"Measles, Total","10140","2018","2018","Washington","53",8
,"Measles, Total","10140","2018","2018","West Virginia","54",0
,"Measles, Total","10140","2018","2018","Wisconsin","55",0
,"Measles, Total","10140","2018","2018","Wyoming","56",0
,"Measles, Total","10140","2018","2018","Territories","REGION10",0
,"Measles, Total","10140","2018","2018","American Samoa","60",0
,"Measles, Total","10140","2018","2018","Commonwealth of Northern Mariana Islands","69",0
,"Measles, Total","10140","2018","2018","Guam","66",0
,"Measles, Total","10140","2018","2018","Puerto Rico","72",0
,"Measles, Total","10140","2018","2018","U.S. Virgin Islands","78",0
,"Measles, Total","10140","2018","2018","Non-U.S. Residents","REGION11",Not Available
,"Measles, Total","10140","2019","2019","United States","U.S.",1275
,"Measles, Total","10140","2019","2019","Alabama","01",0
,"Measles, Total","10140","2019","2019","Alaska","02",1
,"Measles, Total","10140","2019","2019","Arizona","04",1
,"Measles, Total","10140","2019","2019","Arkansas","05",0
,"Measles, Total","10140","2019","2019","California","06",73
,"Measles, Total","10140","2019","2019","Colorado","08",1
,"Measles, Total","10140","2019","2019","Connecticut","09",4
,"Measles, Total","10140","2019","2019","Delaware","10",0
,"Measles, Total","10140","2019","2019","District of Columbia","11",0
,"Measles, Total","10140","2019","2019","Florida","12",3
,"Measles, Total","10140","2019","2019","Georgia","13",18
,"Measles, Total","10140","2019","2019","Hawaii","15",2
,"Measles, Total","10140","2019","2019","Idaho","16",2
,"Measles, Total","10140","2019","2019","Illinois","17",9
,"Measles, Total","10140","2019","2019","Indiana","18",1
,"Measles, Total","10140","2019","2019","Iowa","19",2
